,Unnamed: 0,City,LocType,NO2,SO2,Sampling.Date,State,Scale_SO2,Scale_NO2
0,0,Hyderabad,Sensitive Area,15.6,4.9,2006-07-02,Andhra Pradesh,0.06630581867388363,0.014631233203941477
1,1,Hyderabad,Sensitive Area,20.5,4.9,2006-10-02,Andhra Pradesh,0.06630581867388363,0.014631233203941477
2,2,Hyderabad,Sensitive Area,20.5,4.8,2006-12-02,Andhra Pradesh,0.06495263870094722,0.01433263660794267
3,3,Hyderabad,Sensitive Area,18.7,4.7,2006-02-15,Andhra Pradesh,0.06359945872801083,0.014034040011943865
4,4,Hyderabad,Sensitive Area,16.6,4.5,2006-02-17,Andhra Pradesh,0.06089309878213802,0.013436846819946254
5,5,Hyderabad,Sensitive Area,16.6,4.7,2006-02-25,Andhra Pradesh,0.06359945872801083,0.014034040011943865
6,6,Hyderabad,Sensitive Area,16.3,4.5,2006-02-27,Andhra Pradesh,0.06089309878213802,0.013436846819946254
7,7,Hyderabad,Sensitive Area,16.5,4.5,2006-02-28,Andhra Pradesh,0.06089309878213802,0.013436846819946254
8,8,Hyderabad,Sensitive Area,15.2,4.7,2006-04-03,Andhra Pradesh,0.06359945872801083,0.014034040011943865
9,9,Hyderabad,Sensitive Area,16.2,4.6,2006-06-03,Andhra Pradesh,0.062246278755074415,0.013735443415945058
10,10,Hyderabad,Sensitive Area,16.6,4.8,2006-10-03,Andhra Pradesh,0.06495263870094722,0.01433263660794267
11,11,Hyderabad,Sensitive Area,16.7,4.7,2006-12-03,Andhra Pradesh,0.06359945872801083,0.014034040011943865
12,12,Hyderabad,Sensitive Area,16.8,4.7,2006-03-18,Andhra Pradesh,0.06359945872801083,0.014034040011943865
13,13,Hyderabad,Sensitive Area,16.8,4.8,2006-03-21,Andhra Pradesh,0.06495263870094722,0.01433263660794267
14,14,Hyderabad,Sensitive Area,17.3,4.7,2006-03-24,Andhra Pradesh,0.06359945872801083,0.014034040011943865
15,15,Hyderabad,Sensitive Area,13.8,4.6,2006-03-28,Andhra Pradesh,0.062246278755074415,0.013735443415945058
16,16,Hyderabad,Sensitive Area,16.4,4.9,2006-03-30,Andhra Pradesh,0.06630581867388363,0.014631233203941477
17,17,Hyderabad,Sensitive Area,17.1,4.8,2006-03-04,Andhra Pradesh,0.06495263870094722,0.01433263660794267
18,18,Hyderabad,Sensitive Area,13.9,4.8,2006-06-04,Andhra Pradesh,0.06495263870094722,0.01433263660794267
19,19,Hyderabad,Sensitive Area,16.4,4.7,2006-10-04,Andhra Pradesh,0.06359945872801083,0.014034040011943865
20,20,Hyderabad,Sensitive Area,17.1,4.9,2006-04-13,Andhra Pradesh,0.06630581867388363,0.014631233203941477
21,21,Hyderabad,Sensitive Area,16.1,4.5,2006-04-18,Andhra Pradesh,0.06089309878213802,0.013436846819946254
22,22,Hyderabad,Sensitive Area,16.9,4.8,2006-04-20,Andhra Pradesh,0.06495263870094722,0.01433263660794267
23,23,Hyderabad,Sensitive Area,15.8,4.7,2006-04-23,Andhra Pradesh,0.06359945872801083,0.014034040011943865
24,24,Hyderabad,Sensitive Area,15.2,4.7,2006-04-26,Andhra Pradesh,0.06359945872801083,0.014034040011943865
25,25,Hyderabad,Sensitive Area,17.8,4.7,2006-04-28,Andhra Pradesh,0.06359945872801083,0.014034040011943865
26,26,Hyderabad,Sensitive Area,15.8,4.7,2006-03-05,Andhra Pradesh,0.06359945872801083,0.014034040011943865
27,27,Hyderabad,Sensitive Area,17.2,4.7,2006-07-05,Andhra Pradesh,0.06359945872801083,0.014034040011943865
28,28,Hyderabad,Sensitive Area,17.1,4.8,2006-12-05,Andhra Pradesh,0.06495263870094722,0.01433263660794267
29,29,Hyderabad,Sensitive Area,16.1,4.8,2006-05-16,Andhra Pradesh,0.06495263870094722,0.01433263660794267
30,30,Hyderabad,Sensitive Area,15.6,4.7,2006-05-20,Andhra Pradesh,0.06359945872801083,0.014034040011943865
31,31,Hyderabad,Sensitive Area,17.2,4.5,2006-05-24,Andhra Pradesh,0.06089309878213802,0.013436846819946254
32,32,Hyderabad,Sensitive Area,16.8,4.5,2006-05-28,Andhra Pradesh,0.06089309878213802,0.013436846819946254
33,33,Hyderabad,Sensitive Area,16.1,4.7,2006-05-31,Andhra Pradesh,0.06359945872801083,0.014034040011943865
34,34,Hyderabad,Sensitive Area,17.3,4.8,2006-03-06,Andhra Pradesh,0.06495263870094722,0.01433263660794267
35,35,Hyderabad,Sensitive Area,20.0,4.7,2006-10-06,Andhra Pradesh,0.06359945872801083,0.014034040011943865
36,36,Hyderabad,Sensitive Area,17.1,4.6,2006-12-06,Andhra Pradesh,0.062246278755074415,0.013735443415945058
37,37,Hyderabad,Sensitive Area,17.0,4.7,2006-06-14,Andhra Pradesh,0.06359945872801083,0.014034040011943865
38,38,Hyderabad,Sensitive Area,16.6,4.7,2006-06-17,Andhra Pradesh,0.06359945872801083,0.014034040011943865
39,39,Hyderabad,Sensitive Area,18.1,4.7,2006-06-21,Andhra Pradesh,0.06359945872801083,0.014034040011943865
40,40,Hyderabad,Sensitive Area,15.0,4.7,2006-06-26,Andhra Pradesh,0.06359945872801083,0.014034040011943865
41,41,Hyderabad,Sensitive Area,15.0,4.7,2006-06-28,Andhra Pradesh,0.06359945872801083,0.014034040011943865
42,42,Hyderabad,Sensitive Area,15.1,4.7,2006-06-30,Andhra Pradesh,0.06359945872801083,0.014034040011943865
43,43,Hyderabad,Sensitive Area,17.2,4.7,2006-04-07,Andhra Pradesh,0.06359945872801083,0.014034040011943865
44,44,Hyderabad,Sensitive Area,16.6,4.6,2006-08-07,Andhra Pradesh,0.062246278755074415,0.013735443415945058
45,45,Hyderabad,Sensitive Area,15.7,4.8,2006-11-07,Andhra Pradesh,0.06495263870094722,0.01433263660794267
46,46,Hyderabad,Sensitive Area,18.2,4.9,2006-07-14,Andhra Pradesh,0.06630581867388363,0.014631233203941477
47,47,Hyderabad,Sensitive Area,16.5,4.7,2006-07-16,Andhra Pradesh,0.06359945872801083,0.014034040011943865
48,48,Hyderabad,Sensitive Area,15.0,4.5,2006-07-27,Andhra Pradesh,0.06089309878213802,0.013436846819946254
49,49,Hyderabad,Sensitive Area,16.4,4.7,2006-07-29,Andhra Pradesh,0.06359945872801083,0.014034040011943865
50,50,Hyderabad,Sensitive Area,17.0,4.7,2006-07-30,Andhra Pradesh,0.06359945872801083,0.014034040011943865
51,51,Hyderabad,Sensitive Area,15.0,4.6,2006-02-08,Andhra Pradesh,0.062246278755074415,0.013735443415945058
52,52,Hyderabad,Sensitive Area,15.1,4.7,2006-05-08,Andhra Pradesh,0.06359945872801083,0.014034040011943865
53,53,Hyderabad,Sensitive Area,15.7,4.5,2006-08-08,Andhra Pradesh,0.06089309878213802,0.013436846819946254
54,54,Hyderabad,Sensitive Area,15.5,4.7,2006-11-08,Andhra Pradesh,0.06359945872801083,0.014034040011943865
55,55,Hyderabad,Sensitive Area,16.2,4.8,2006-08-13,Andhra Pradesh,0.06495263870094722,0.01433263660794267
56,56,Hyderabad,Sensitive Area,16.6,4.8,2006-08-16,Andhra Pradesh,0.06495263870094722,0.01433263660794267
57,57,Hyderabad,Sensitive Area,17.0,4.6,2006-08-19,Andhra Pradesh,0.062246278755074415,0.013735443415945058
58,58,Hyderabad,Sensitive Area,15.1,4.7,2006-08-24,Andhra Pradesh,0.06359945872801083,0.014034040011943865
59,59,Hyderabad,Sensitive Area,15.8,5.0,2006-08-30,Andhra Pradesh,0.06765899864682003,0.014929829799940281
60,60,Hyderabad,Sensitive Area,15.1,5.0,2006-02-09,Andhra Pradesh,0.06765899864682003,0.014929829799940281
61,61,Hyderabad,Sensitive Area,14.5,4.8,2006-08-09,Andhra Pradesh,0.06495263870094722,0.01433263660794267
62,62,Hyderabad,Sensitive Area,15.8,5.0,2006-10-09,Andhra Pradesh,0.06765899864682003,0.014929829799940281
63,63,Hyderabad,Sensitive Area,14.3,5.0,2006-09-13,Andhra Pradesh,0.06765899864682003,0.014929829799940281
64,64,Hyderabad,Sensitive Area,15.2,5.0,2006-09-16,Andhra Pradesh,0.06765899864682003,0.014929829799940281
65,65,Hyderabad,Sensitive Area,17.1,4.9,2006-09-21,Andhra Pradesh,0.06630581867388363,0.014631233203941477
66,66,Hyderabad,Sensitive Area,14.7,5.1,2006-09-25,Andhra Pradesh,0.06901217861975642,0.015228426395939087
67,67,Hyderabad,Sensitive Area,15.7,5.0,2006-09-27,Andhra Pradesh,0.06765899864682003,0.014929829799940281
68,68,Hyderabad,Sensitive Area,15.9,4.7,2006-09-30,Andhra Pradesh,0.06359945872801083,0.014034040011943865
69,69,Hyderabad,Sensitive Area,14.5,5.0,2006-04-10,Andhra Pradesh,0.06765899864682003,0.014929829799940281
70,70,Hyderabad,Sensitive Area,16.5,5.0,2006-08-10,Andhra Pradesh,0.06765899864682003,0.014929829799940281
71,71,Hyderabad,Sensitive Area,19.7,5.0,2006-11-10,Andhra Pradesh,0.06765899864682003,0.014929829799940281
72,72,Hyderabad,Sensitive Area,16.1,5.0,2006-10-14,Andhra Pradesh,0.06765899864682003,0.014929829799940281
73,73,Hyderabad,Sensitive Area,14.7,5.0,2006-10-16,Andhra Pradesh,0.06765899864682003,0.014929829799940281
74,74,Hyderabad,Sensitive Area,17.6,5.0,2006-10-18,Andhra Pradesh,0.06765899864682003,0.014929829799940281
75,75,Hyderabad,Sensitive Area,31.9,4.8,2006-10-21,Andhra Pradesh,0.06495263870094722,0.01433263660794267
76,76,Hyderabad,Sensitive Area,23.7,5.0,2006-10-23,Andhra Pradesh,0.06765899864682003,0.014929829799940281
77,77,Hyderabad,Sensitive Area,22.1,4.8,2006-10-26,Andhra Pradesh,0.06495263870094722,0.01433263660794267
78,78,Hyderabad,Sensitive Area,16.2,4.6,2006-02-11,Andhra Pradesh,0.062246278755074415,0.013735443415945058
79,79,Hyderabad,Sensitive Area,15.3,4.4,2006-05-11,Andhra Pradesh,0.05953991880920163,0.01313825022394745
80,80,Hyderabad,Sensitive Area,15.5,4.2,2006-08-11,Andhra Pradesh,0.05683355886332882,0.012541057031949836
81,81,Hyderabad,Sensitive Area,15.1,4.3,2006-11-11,Andhra Pradesh,0.05818673883626522,0.012839653627948642
82,82,Hyderabad,Sensitive Area,15.1,4.4,2006-11-17,Andhra Pradesh,0.05953991880920163,0.01313825022394745
83,83,Hyderabad,Sensitive Area,14.8,4.4,2006-11-21,Andhra Pradesh,0.05953991880920163,0.01313825022394745
84,84,Hyderabad,Sensitive Area,19.0,4.4,2006-11-23,Andhra Pradesh,0.05953991880920163,0.01313825022394745
85,85,Hyderabad,Sensitive Area,16.4,4.8,2006-11-27,Andhra Pradesh,0.06495263870094722,0.01433263660794267
