,City,LocType,NO2,SO2,Sampling.Date,State
0,Hyderabad,Sensitive Area,15.6,4.9,2006-07-02,Andhra Pradesh
1,Hyderabad,Sensitive Area,20.5,4.9,2006-10-02,Andhra Pradesh
2,Hyderabad,Sensitive Area,20.5,4.8,2006-12-02,Andhra Pradesh
3,Hyderabad,Sensitive Area,18.7,4.7,2006-02-15,Andhra Pradesh
4,Hyderabad,Sensitive Area,16.6,4.5,2006-02-17,Andhra Pradesh
5,Hyderabad,Sensitive Area,16.6,4.7,2006-02-25,Andhra Pradesh
6,Hyderabad,Sensitive Area,16.3,4.5,2006-02-27,Andhra Pradesh
7,Hyderabad,Sensitive Area,16.5,4.5,2006-02-28,Andhra Pradesh
8,Hyderabad,Sensitive Area,15.2,4.7,2006-04-03,Andhra Pradesh
9,Hyderabad,Sensitive Area,16.2,4.6,2006-06-03,Andhra Pradesh
10,Hyderabad,Sensitive Area,16.6,4.8,2006-10-03,Andhra Pradesh
11,Hyderabad,Sensitive Area,16.7,4.7,2006-12-03,Andhra Pradesh
12,Hyderabad,Sensitive Area,16.8,4.7,2006-03-18,Andhra Pradesh
13,Hyderabad,Sensitive Area,16.8,4.8,2006-03-21,Andhra Pradesh
14,Hyderabad,Sensitive Area,17.3,4.7,2006-03-24,Andhra Pradesh
15,Hyderabad,Sensitive Area,13.8,4.6,2006-03-28,Andhra Pradesh
16,Hyderabad,Sensitive Area,16.4,4.9,2006-03-30,Andhra Pradesh
17,Hyderabad,Sensitive Area,17.1,4.8,2006-03-04,Andhra Pradesh
18,Hyderabad,Sensitive Area,13.9,4.8,2006-06-04,Andhra Pradesh
19,Hyderabad,Sensitive Area,16.4,4.7,2006-10-04,Andhra Pradesh
20,Hyderabad,Sensitive Area,17.1,4.9,2006-04-13,Andhra Pradesh
21,Hyderabad,Sensitive Area,16.1,4.5,2006-04-18,Andhra Pradesh
22,Hyderabad,Sensitive Area,16.9,4.8,2006-04-20,Andhra Pradesh
23,Hyderabad,Sensitive Area,15.8,4.7,2006-04-23,Andhra Pradesh
24,Hyderabad,Sensitive Area,15.2,4.7,2006-04-26,Andhra Pradesh
25,Hyderabad,Sensitive Area,17.8,4.7,2006-04-28,Andhra Pradesh
26,Hyderabad,Sensitive Area,15.8,4.7,2006-03-05,Andhra Pradesh
27,Hyderabad,Sensitive Area,17.2,4.7,2006-07-05,Andhra Pradesh
28,Hyderabad,Sensitive Area,17.1,4.8,2006-12-05,Andhra Pradesh
29,Hyderabad,Sensitive Area,16.1,4.8,2006-05-16,Andhra Pradesh
30,Hyderabad,Sensitive Area,15.6,4.7,2006-05-20,Andhra Pradesh
31,Hyderabad,Sensitive Area,17.2,4.5,2006-05-24,Andhra Pradesh
32,Hyderabad,Sensitive Area,16.8,4.5,2006-05-28,Andhra Pradesh
33,Hyderabad,Sensitive Area,16.1,4.7,2006-05-31,Andhra Pradesh
34,Hyderabad,Sensitive Area,17.3,4.8,2006-03-06,Andhra Pradesh
35,Hyderabad,Sensitive Area,20.0,4.7,2006-10-06,Andhra Pradesh
36,Hyderabad,Sensitive Area,17.1,4.6,2006-12-06,Andhra Pradesh
37,Hyderabad,Sensitive Area,17.0,4.7,2006-06-14,Andhra Pradesh
38,Hyderabad,Sensitive Area,16.6,4.7,2006-06-17,Andhra Pradesh
39,Hyderabad,Sensitive Area,18.1,4.7,2006-06-21,Andhra Pradesh
40,Hyderabad,Sensitive Area,15.0,4.7,2006-06-26,Andhra Pradesh
41,Hyderabad,Sensitive Area,15.0,4.7,2006-06-28,Andhra Pradesh
42,Hyderabad,Sensitive Area,15.1,4.7,2006-06-30,Andhra Pradesh
43,Hyderabad,Sensitive Area,17.2,4.7,2006-04-07,Andhra Pradesh
44,Hyderabad,Sensitive Area,16.6,4.6,2006-08-07,Andhra Pradesh
45,Hyderabad,Sensitive Area,15.7,4.8,2006-11-07,Andhra Pradesh
46,Hyderabad,Sensitive Area,18.2,4.9,2006-07-14,Andhra Pradesh
47,Hyderabad,Sensitive Area,16.5,4.7,2006-07-16,Andhra Pradesh
48,Hyderabad,Sensitive Area,15.0,4.5,2006-07-27,Andhra Pradesh
49,Hyderabad,Sensitive Area,16.4,4.7,2006-07-29,Andhra Pradesh
50,Hyderabad,Sensitive Area,17.0,4.7,2006-07-30,Andhra Pradesh
51,Hyderabad,Sensitive Area,15.0,4.6,2006-02-08,Andhra Pradesh
52,Hyderabad,Sensitive Area,15.1,4.7,2006-05-08,Andhra Pradesh
53,Hyderabad,Sensitive Area,15.7,4.5,2006-08-08,Andhra Pradesh
54,Hyderabad,Sensitive Area,15.5,4.7,2006-11-08,Andhra Pradesh
55,Hyderabad,Sensitive Area,16.2,4.8,2006-08-13,Andhra Pradesh
56,Hyderabad,Sensitive Area,16.6,4.8,2006-08-16,Andhra Pradesh
57,Hyderabad,Sensitive Area,17.0,4.6,2006-08-19,Andhra Pradesh
58,Hyderabad,Sensitive Area,15.1,4.7,2006-08-24,Andhra Pradesh
59,Hyderabad,Sensitive Area,15.8,5.0,2006-08-30,Andhra Pradesh
60,Hyderabad,Sensitive Area,15.1,5.0,2006-02-09,Andhra Pradesh
61,Hyderabad,Sensitive Area,14.5,4.8,2006-08-09,Andhra Pradesh
62,Hyderabad,Sensitive Area,15.8,5.0,2006-10-09,Andhra Pradesh
63,Hyderabad,Sensitive Area,14.3,5.0,2006-09-13,Andhra Pradesh
64,Hyderabad,Sensitive Area,15.2,5.0,2006-09-16,Andhra Pradesh
65,Hyderabad,Sensitive Area,17.1,4.9,2006-09-21,Andhra Pradesh
66,Hyderabad,Sensitive Area,14.7,5.1,2006-09-25,Andhra Pradesh
67,Hyderabad,Sensitive Area,15.7,5.0,2006-09-27,Andhra Pradesh
68,Hyderabad,Sensitive Area,15.9,4.7,2006-09-30,Andhra Pradesh
69,Hyderabad,Sensitive Area,14.5,5.0,2006-04-10,Andhra Pradesh
70,Hyderabad,Sensitive Area,16.5,5.0,2006-08-10,Andhra Pradesh
71,Hyderabad,Sensitive Area,19.7,5.0,2006-11-10,Andhra Pradesh
72,Hyderabad,Sensitive Area,16.1,5.0,2006-10-14,Andhra Pradesh
73,Hyderabad,Sensitive Area,14.7,5.0,2006-10-16,Andhra Pradesh
74,Hyderabad,Sensitive Area,17.6,5.0,2006-10-18,Andhra Pradesh
75,Hyderabad,Sensitive Area,31.9,4.8,2006-10-21,Andhra Pradesh
76,Hyderabad,Sensitive Area,23.7,5.0,2006-10-23,Andhra Pradesh
77,Hyderabad,Sensitive Area,22.1,4.8,2006-10-26,Andhra Pradesh
78,Hyderabad,Sensitive Area,16.2,4.6,2006-02-11,Andhra Pradesh
79,Hyderabad,Sensitive Area,15.3,4.4,2006-05-11,Andhra Pradesh
80,Hyderabad,Sensitive Area,15.5,4.2,2006-08-11,Andhra Pradesh
81,Hyderabad,Sensitive Area,15.1,4.3,2006-11-11,Andhra Pradesh
82,Hyderabad,Sensitive Area,15.1,4.4,2006-11-17,Andhra Pradesh
83,Hyderabad,Sensitive Area,14.8,4.4,2006-11-21,Andhra Pradesh
84,Hyderabad,Sensitive Area,19.0,4.4,2006-11-23,Andhra Pradesh
85,Hyderabad,Sensitive Area,16.4,4.8,2006-11-27,Andhra Pradesh
86,Hyderabad,Sensitive Area,17.3,4.8,2006-06-12,Andhra Pradesh
87,Hyderabad,Sensitive Area,16.5,4.8,2006-09-12,Andhra Pradesh
88,Hyderabad,Sensitive Area,12.7,4.6,2006-10-12,Andhra Pradesh
89,Hyderabad,Sensitive Area,17.6,4.5,2006-12-12,Andhra Pradesh
90,Hyderabad,Sensitive Area,18.8,4.5,2006-12-19,Andhra Pradesh
91,Hyderabad,Sensitive Area,15.6,4.6,2006-12-21,Andhra Pradesh
92,Hyderabad,Sensitive Area,17.8,4.3,2006-12-25,Andhra Pradesh
93,Hyderabad,Sensitive Area,15.7,4.4,2006-12-27,Andhra Pradesh
94,Hyderabad,Sensitive Area,17.0,4.4,2006-12-30,Andhra Pradesh
95,Hyderabad,Sensitive Area,16.4,4.8,2007-01-17,Andhra Pradesh
96,Hyderabad,Sensitive Area,19.0,4.4,2007-01-21,Andhra Pradesh
97,Hyderabad,Sensitive Area,16.2,4.7,2007-01-23,Andhra Pradesh
98,Hyderabad,Sensitive Area,17.3,4.9,2007-01-29,Andhra Pradesh
99,Hyderabad,Sensitive Area,16.1,4.9,2007-02-15,Andhra Pradesh
100,Hyderabad,Sensitive Area,17.1,4.9,2007-02-17,Andhra Pradesh
101,Hyderabad,Sensitive Area,16.4,4.4,2007-02-21,Andhra Pradesh
102,Hyderabad,Sensitive Area,17.5,4.9,2007-02-23,Andhra Pradesh
103,Hyderabad,Sensitive Area,17.1,4.9,2007-02-25,Andhra Pradesh
104,Hyderabad,Sensitive Area,17.1,4.9,2007-02-27,Andhra Pradesh
105,Hyderabad,Sensitive Area,15.7,4.8,2007-03-15,Andhra Pradesh
106,Hyderabad,Sensitive Area,17.0,4.8,2007-03-17,Andhra Pradesh
107,Hyderabad,Sensitive Area,12.9,4.4,2007-03-18,Andhra Pradesh
108,Hyderabad,Sensitive Area,17.0,4.7,2007-03-21,Andhra Pradesh
109,Hyderabad,Sensitive Area,17.0,4.8,2007-03-23,Andhra Pradesh
110,Hyderabad,Sensitive Area,18.5,4.7,2007-03-27,Andhra Pradesh
111,Hyderabad,Sensitive Area,12.9,4.8,2007-03-31,Andhra Pradesh
112,Hyderabad,Sensitive Area,18.1,4.8,2007-04-15,Andhra Pradesh
113,Hyderabad,Sensitive Area,19.1,4.6,2007-04-17,Andhra Pradesh
114,Hyderabad,Sensitive Area,17.9,4.7,2007-04-21,Andhra Pradesh
115,Hyderabad,Sensitive Area,17.7,4.9,2007-04-27,Andhra Pradesh
116,Hyderabad,Sensitive Area,19.5,4.8,2007-04-29,Andhra Pradesh
117,Hyderabad,Sensitive Area,17.7,4.7,2007-05-15,Andhra Pradesh
118,Hyderabad,Sensitive Area,14.8,4.8,2007-05-17,Andhra Pradesh
119,Hyderabad,Sensitive Area,17.2,4.7,2007-05-21,Andhra Pradesh
120,Hyderabad,Sensitive Area,12.9,4.7,2007-05-23,Andhra Pradesh
